reviewer_name,review_date,review_content
rainyredzuan,2022-10-06 18:05:12,Memang berbaloi beli kt sini .. penghantaran pun cepat ..berbaloii sangat …senang mudah … tak payah susah susah keluar beli .. order je sampai .. barang pun sampai dalam keadaan yang baik .. di balut dengan kemas.. betul boleh repeat order.. tggu usha next pattern
aliff241983,2024-02-15 20:13:54,"Kuality ok, barang sampai dalam keadaan baik. TQ so much👍🏻🫡👌🏻"
a*****i,2022-04-06 10:05:03,Thankyou tlg pasangkan visor. Husband suka 😍 Penghantaran pun cepat. Thankyou seller good service 🌟🌟🌟🌟🌟
b6fuiuvxkx,2021-07-16 20:26:37,"good product
good helmet
good colour
good sticker
good shape
good motor
good rider
good day"
mohdsyaznimohdrunda,2020-06-30 00:00:00,ty bus ku.. terbaik la.. cepat sampai bus ku 👍👍👍 sya beli ya.. 
ammarfadhliolala,2022-01-11 22:46:56,tq seller.. item good condition.. tiada masalah.. betul² fit hahaha..  terbaik 🎉🎉🎉🤜🤛👍👍⭐⭐⭐⭐⭐
mr.cikyupp95,2022-07-07 18:10:55,"Alhamdulillah helmat berpuas hati . Tapi balutan dia nipas sgt ,harap seller bole tebal kn skit balutan ye ..🤘🤘🤘🤘"
siratul_ikram17,2023-11-01 05:33:30,"Overall helmet semua okay , cuma bungkusan sahaja boss kena upgrade sikit 👍👍👍"
rubiahrahman,2023-01-21 09:27:16,Penghantaran cepat dan barang dalam keadaan baik tq😁😊😏…..
amzari1982,2020-04-15 17:40:29,Tq seller...barang dah dapat...sangat puas hati..cuma logistik lambat sikit...
fitti46,2021-07-28 21:14:09,Penghantaran pantas semalam Oder Harini sampai 👍🏻
fadzillahbossku,2020-05-21 18:01:10,Barang dtg dlm keadaan baik
arinaac_,2020-04-28 13:20:27,barang dah sampai. tq bro. trusted seller
amjejey,2023-01-09 01:05:54,Bag ad koyak.. helmet okey cun
gabanshop4470,2020-06-19 11:27:37,Terbaik bossku... Tq boss 
hamizankhalit,2022-07-25 13:15:54,
a*****d,2020-09-15 15:34:32,
helmymahmad,2022-08-01 18:32:08,doreamon
l*****8,2020-05-05 16:07:57,Seller should explain in details about helmet strap. Double D-ring or quick release( clip  chin strap) type.
firdausmahdzir98,2020-03-13 13:51:12,
rcv93,2022-02-21 20:30:07,Mantap 😎
m*****r,2022-02-06 21:54:47,penghataran mantap... legit
saypool87,2019-05-27 11:29:14,fast delivery
mohamadrazalijamal,2024-02-18 14:34:40,terbaikkkk bosskuuuu
dayangnurezarra,2021-02-09 07:50:20,"Alhamdulillah dah terima,tak ada calar ..terbaik"
mohdsyarifayep,2020-05-26 13:52:14,terbaikk boss
normaznisuhamey,2022-02-27 12:08:07,nice bangat
minmin2store,2022-06-24 21:38:26,Nice helmet
shawal2018,2022-09-13 10:19:19,Terbaik
zainulasri96,2022-01-08 20:00:16,Alhamdulillah.
h*****l,2020-04-30 10:21:50,
rozizz,2019-06-14 12:35:39,
felix2571,2020-02-27 20:02:20,Niceeeee... perfectly fine..👍👌👌👌
mamubaling,2023-12-01 16:56:07,
yusry_daud,2023-05-09 06:22:00,
charlenethe,2023-01-31 22:55:58,
fareasteast,2023-01-30 13:04:23,
abj_gadgets,2023-01-28 20:09:33,
jazmantora,2022-10-12 20:40:14,
nadznad,2022-09-13 17:57:23,
rossazuan,2022-08-22 03:01:03,
we.je.yg.ada,2020-05-16 02:07:44,
sabri42,2022-07-07 13:43:41,
dieyanaanuar,2019-06-16 21:30:03,
eqah9493,2020-04-03 19:13:25,
marinicindai2708,2021-12-30 17:09:44,
ikhwansabri98,2020-04-22 18:41:40,
fadzni,2019-06-20 14:47:42,
adioo89,2020-09-28 06:18:28,
,2020-09-15 15:37:37,
affendyabdulrasid,2020-04-04 09:01:53,
dinemma,2022-05-22 14:20:08,
aaaaaa98,2022-06-25 16:11:36,
yazrulhafiz,2020-06-02 19:28:44,
mdnoor63,2020-10-21 14:42:40,
izhanrosli86,2021-12-10 13:25:09,
,2020-04-02 08:53:13,
rezuan.eone,2022-01-04 10:11:37,
j*****h,2022-09-08 23:25:37,
nuzie76,2022-05-16 19:56:40,
fakhrullah0516,2022-07-04 13:01:20,
harazmi2426,2022-09-05 14:13:40,
f_0gi2jqge,2022-10-06 16:44:11,
